NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
22,1959-009A,EXPLORER 7,491.4
29,1960-002B,TIROS 1,640.7
45,1960-007A,TRANSIT 2A,779.2
46,1960-007B,SOLRAD 1 (GREB),717.4
47,1960-007C,THOR ABLESTAR R/B,748.5
116,1961-015A,TRANSIT 4A,927.7
117,1961-015B,SOLRAD 3/INJUN 1,935.1
118,1961-015C,THOR ABLESTAR R/B,891.6
162,1961-017A,TIROS 3,748.0
226,1962-002A,TIROS 4,742.1
309,1962-025A,TIROS 5,698.4
369,1962-039A,FTV 3502,598.8
397,1962-047A,TIROS 6,587.1
716,1963-054A,TIROS 8,658.4
727,1964-001A,THOR AGENA D R/B,915.6
728,1964-001B,GGSE 1 (GGRS),908.7
729,1964-001C,SECOR 1B,917.6
730,1964-001D,SOLRAD 7A,914.7
731,1964-001E,GREB,913.8
733,1964-002A,THOR AGENA D R/B,785.5
734,1964-002B,OPS 3367 A,800.0
735,1964-002C,OPS 3367 B,803.7
801,1964-026A,OPS 4412 (TRANSIT 9),842.6
809,1964-026D,SCOUT X-4 R/B,864.0
812,1964-031A,OPS 4467 A,817.1
813,1964-031B,OPS 4467 B,820.0
815,1964-031C,THOR AGENA D R/B,804.0
871,1964-051B,SCOUT X-4 R/B,898.7
876,1964-053A,COSMOS 44,682.0
877,1964-053B,SL-3 R/B,695.9
1208,1965-016E,SECOR 3,914.6
1244,1965-016B,GGSE 2,914.3
1245,1965-016J,THOR AGENA D R/B,909.1
1271,1965-016A,OPS 4988 (GREB 6),912.6
1272,1965-016H,PORCUPINE 1,920.0
1291,1965-016D,SOLRAD 7B,918.5
1292,1965-016C,GGSE 3,895.5
1293,1965-016F,OSCAR 3,872.0
1430,1965-051A,TIROS 10,760.4
1433,1965-051B,DELTA 1 R/B,692.1
1510,1965-065C,DODECAPOLE 2,864.2
1580,1965-072A,OPS 8068,800.2
1583,1965-072D,THOR ALTAIR R/B,684.8
1641,1965-082C,OV2-1,717.2
1738,1965-093A,EXPLORER 30,759.7
1739,1965-093B,SCOUT X-4 R/B,716.0
1814,1965-101A,FR 1,663.3
1815,1965-101B,SCOUT X-4 R/B,600.4
1982,1966-008A,ESSA 1 (OT-3),738.3
1983,1966-008B,DELTA 1 R/B,672.9
2125,1966-026A,OPS 0340,698.2
2142,1966-031A,OAO 1,783.3
2144,1966-031B,ATLAS AGENA D R/B,749.5
2176,1966-041A,OPS 0082 (TRANSIT 13),886.1
2180,1966-041B,SCOUT A R/B,897.2
2418,1966-082A,OPS 6026 (DMSP 4A F1),753.0
2422,1966-082B,THOR BURNER 2 R/B,743.6
2621,1966-111C,OV1-10 R/B,619.2
2669,1967-010A,OPS 6073 (DMSP 4A F2),804.9
2674,1967-011A,DIADEME 1,655.6
2741,1967-010B,THOR BURNER 2 R/B,801.5
2801,1967-045A,COSMOS 158,775.8
2802,1967-045B,SL-8 R/B,747.1
2825,1967-053B,THOR AGENA D R/B,908.9
2826,1967-053A,OPS 5712 (P/L 160),647.5
2828,1967-053C,GGSE 4,907.7
2834,1967-053D,GGSE 5,914.2
2847,1967-053E,TIMATION 1,890.8
2872,1967-053F,SURCAL 159,902.4
2873,1967-053G,OPS 5712 (P/L 152),906.1
2874,1967-053H,OPS 5712 (P/L 153),912.0
2920,1967-080A,OPS 7202 (DMSP 4A F3),848.5
2940,1967-080B,THOR BURNER 2 R/B,841.8
2980,1967-096A,OPS 1264 (DMSP 4A F4),690.9
2985,1967-096B,THOR BURNER 2 R/B,670.1
3047,1967-116A,COSMOS 192,708.3
3048,1967-116B,SL-8 R/B,689.6
3081,1967-127A,COSMOS 198,923.9
3158,1968-023A,COSMOS 209,908.1
3229,1968-040A,COSMOS 220,634.2
3230,1968-040B,SL-8 R/B,563.7
3266,1968-042A,OPS 7869 (DMSP 4B F1),846.5
3271,1968-042B,THOR BURNER 2 R/B,840.6
3510,1968-092A,OPS 4078 (DMSP 4B F2),804.8
3522,1968-092B,THOR BURNER 2 R/B,795.6
3597,1968-110A,OAO 2,741.6
3598,1968-110B,ATLAS CENTAUR R/B,708.1
4047,1969-062A,OPS 1127 (DMSP 4B F3),800.6
4048,1969-062B,THOR BURNER 2 R/B,791.5
4070,1969-070A,COSMOS 292,715.2
4071,1969-070B,SL-8 R/B,679.1
4132,1969-082K,SOICAL (CONE),792.9
4138,1969-091A,COSMOS 304,744.4
4139,1969-091B,SL-8 R/B,679.4
4168,1969-082H,TEMPSAT 2,914.8
4221,1969-097A,AZUR (GRS A),488.9
4237,1969-082E,OPS 7613 (P/L 4),914.9
4247,1969-082F,OPS 7613 (P/L 5),914.9
4256,1969-082B,OPS 7613 (P/L 1),903.8
4257,1969-082C,TIMATION 2,913.6
4259,1969-082D,OPS 7613 (P/L 3),917.9
4295,1969-082G,OPS 7613 (P/L 6),916.3
4331,1970-012A,OPS 0054 (DMSP 5A F1),783.6
4332,1970-012B,THOR BURNER 2 R/B,792.2
4369,1970-028A,COSMOS 332,722.5
4370,1970-028B,SL-8 R/B,689.7
